pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,height_m,weight_kg,is_legendary,moves,description
146,Moltres,fire,flying,90,100,90,125,85,90,1,2.0,60.0,1,Peck;Round;Hurricane;Double-Edge;Rage;Incinerate;Twister;Ancient Power;Wing Attack;Mud-Slap;Steel Wing;Ember;Overheat;U-turn;Heat Wave;Take Down;Hidden Power;Sky Drop;Secret Power;Flame Charge;Air Cutter;Solar Beam;Air Slash;Ominous Wind;Fire Blast;Flamethrower;Rock Smash;Fly;Sky Attack;Facade;Hyper Beam;Snore;Pluck;Giga Impact;Burn Up,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,Dratini,dragon,,41,64,45,50,50,50,1,1.8,3.3,0,Thunder;Dragon Rush;Body Slam;Dragon Breath;Skull Bash;Round;Double-Edge;Rage;Waterfall;Headbutt;Twister;Incinerate;Slam;Extreme Speed;Iron Tail;Draco Meteor;Thunderbolt;Water Pulse;Take Down;Icy Wind;Hidden Power;Secret Power;Brutal Swing;Aqua Jet;Water Gun;Surf;Outrage;Zap Cannon;Ice Beam;Bubble Beam;Flamethrower;Fire Blast;Dragon Tail;Facade;Hyper Beam;Snore;Aqua Tail;Dragon Pulse,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,Dragonair,dragon,,61,84,65,70,70,70,1,4.0,16.5,0,Body Slam;Twister;Thunderbolt;Take Down;Secret Power;Outrage;Thunder;Skull Bash;Round;Headbutt;Slam;Extreme Speed;Iron Tail;Aqua Jet;Ice Beam;Fire Blast;Flamethrower;Rage;Waterfall;Water Gun;Surf;Zap Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Draco Meteor;Water Pulse;Icy Wind;Hidden Power;Brutal Swing;Bubble Beam;Dragon Tail;Snore,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,Dragonite,dragon,flying,91,134,95,100,100,80,1,2.2,210.0,0,Body Slam;Fire Punch;Twister;Focus Punch;Dynamic Punch;Thunderbolt;Fly;Take Down;Superpower;Secret Power;Bulldoze;Outrage;Power-Up Punch;Ice Punch;Ominous Wind;Rock Smash;Focus Blast;Thunder;Skull Bash;Iron Head;Round;Brick Break;Stone Edge;Headbutt;Steel Wing;Mud-Slap;Rock Slide;Slam;Extreme Speed;Iron Tail;Earthquake;Aqua Jet;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Dragon Claw;Hurricane;Rage;Waterfall;Heat Wave;Sky Drop;Cut;Water Gun;Surf;Zap Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Wing Attack;Draco Meteor;Water Pulse;Icy Wind;Hidden Power;Brutal Swing;Fury Cutter;Air Cutter;Bubble Beam;Dragon Tail;Snore;Giga Impact;Dive,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,Mewtwo,psychic,,106,150,70,194,120,140,1,2.0,122.0,1,Self-Destruct;Body Slam;Fire Punch;Zen Headbutt;Focus Punch;Dynamic Punch;Thunderbolt;Confusion;Take Down;Secret Power;Bulldoze;Power-Up Punch;Solar Beam;Ice Punch;Psycho Cut;Rock Smash;Mega Kick;Focus Blast;Thunder;Psyshock;Skull Bash;Round;Avalanche;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Poison Jab;Iron Tail;Earthquake;Thunder Punch;Ice Beam;Signal Beam;Flamethrower;Fire Blast;Rock Climb;Rage;Energy Ball;Psystrike;Water Gun;Zap Cannon;Pay Day;Drain Punch;Submission;Facade;Hyper Beam;Aqua Tail;Strength;Double-Edge;Charge Beam;Incinerate;Foul Play;Water Pulse;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Brutal Swing;Low Sweep;Bubble Beam;Shadow Ball;Tri Attack;Snore;Giga Impact;Dive,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Mew,psychic,,100,100,100,100,100,100,1,0.4,4.0,1,Self-Destruct;Fake Out;Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Twister;Dig;Dynamic Punch;Overheat;Thunderbolt;U-turn;Scald;Take Down;Fly;Superpower;Secret Power;Bulldoze;Struggle Bug;Venoshock;Outrage;Solar Beam;Power-Up Punch;Explosion;Ice Punch;Ominous Wind;Rock Smash;Mega Kick;Sludge Wave;Sludge Bomb;Giga Drain;Mega Drain;Vacuum Wave;Focus Blast;Thunder;Psyshock;Bounce;Iron Head;Skull Bash;Round;Volt Switch;Avalanche;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Steel Wing;Shadow Claw;Flash Cannon;Dazzling Gleam;Poison Jab;Iron Tail;Brine;Earthquake;Seed Bomb;Silver Wind;False Swipe;Flame Charge;Thunder Punch;Drill Run;Ice Beam;Signal Beam;Flamethrower;Dark Pulse;Fire Blast;Echoed Voice;Dragon Claw;Smack Down;Electroweb;Dual Chop;Wild Charge;Rock Climb;X-Scissor;Frost Breath;Pluck;Egg Bomb;Knock Off;Rage;Waterfall;Ancient Power;Payback;Retaliate;Energy Ball;Leech Life;Heat Wave;Sky Drop;Cut;Water Gun;Surf;Zap Cannon;Pay Day;Drain Punch;Bullet Seed;Submission;Last Resort;Sky Attack;Facade;Hyper Beam;Rollout;Aqua Tail;Dragon Pulse;Snarl;Strength;Thief;Dragon Breath;Double-Edge;Charge Beam;Incinerate;Bug Bite;Foul Play;Water Pulse;Pound;Mega Punch;Dream Eater;Psychic;Icy Wind;Hidden Power;Brutal Swing;Fury Cutter;Infestation;Air Cutter;Low Sweep;Earth Power;Bubble Beam;Sucker Punch;Dragon Tail;Shadow Ball;Tri Attack;Snore;Uproar;Giga Impact;Dive;Acrobatics,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,Chikorita,grass,,45,49,65,49,65,45,2,0.9,6.4,0,Body Slam;Round;Grass Pledge;Double-Edge;Headbutt;Ancient Power;Mud-Slap;Energy Ball;Iron Tail;Seed Bomb;Hidden Power;Secret Power;Cut;Vine Whip;Fury Cutter;Leaf Storm;Solar Beam;Bullet Seed;Echoed Voice;Razor Leaf;Facade;Giga Drain;Snore,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
153,Bayleef,grass,,60,62,80,63,80,60,2,1.2,15.8,0,Strength;Body Slam;Round;Grass Pledge;Double-Edge;Headbutt;Ancient Power;Mud-Slap;Energy Ball;Iron Tail;Seed Bomb;Hidden Power;Secret Power;Cut;Vine Whip;Fury Cutter;Leaf Storm;Solar Beam;Bullet Seed;Rock Smash;Echoed Voice;Razor Leaf;Facade;Giga Drain;Snore,The scent of spices comes from around its neck. Somehow* sniffing it makes you want to fight.
154,Meganium,grass,,80,82,100,83,100,80,2,1.8,100.5,0,Petal Dance;Body Slam;Grass Pledge;Secret Power;Bulldoze;Outrage;Solar Beam;Rock Smash;Giga Drain;Round;Headbutt;Mud-Slap;Iron Tail;Earthquake;Seed Bomb;Vine Whip;Echoed Voice;Rock Climb;Razor Leaf;Frenzy Plant;Ancient Power;Energy Ball;Cut;Bullet Seed;Petal Blizzard;Facade;Hyper Beam;Strength;Double-Edge;Hidden Power;Fury Cutter;Leaf Storm;Dragon Tail;Snore;Giga Impact,The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,Cyndaquil,fire,,39,52,43,60,50,65,2,0.5,7.9,0,Body Slam;Round;Covet;Double-Edge;Quick Attack;Headbutt;Incinerate;Extrasensory;Mud-Slap;Dig;Flame Burst;Iron Tail;Ember;Eruption;Overheat;Heat Wave;Hidden Power;Cut;Fury Swipes;Flame Charge;Secret Power;Thrash;Flare Blitz;Fire Blast;Flamethrower;Submission;Flame Wheel;Fire Pledge;Wild Charge;Inferno;Facade;Snore;Rollout;Double Kick;Lava Plume;Crush Claw;Burn Up,It has a timid nature. If it is startled* the flames on its back burn more vigorously.
156,Quilava,fire,,58,64,58,80,65,80,2,0.9,19.0,0,Strength;Body Slam;Round;Covet;Double-Edge;Quick Attack;Brick Break;Headbutt;Focus Punch;Extrasensory;Mud-Slap;Dig;Incinerate;Flame Burst;Iron Tail;Ember;Eruption;Overheat;Heat Wave;Hidden Power;Cut;Fury Swipes;Flame Charge;Secret Power;Fury Cutter;Thrash;Flare Blitz;Fire Blast;Flamethrower;Submission;Rock Smash;Flame Wheel;Fire Pledge;Wild Charge;Inferno;Facade;Snore;Rollout;Double Kick;Lava Plume;Crush Claw;Burn Up,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,Typhlosion,fire,,78,84,78,109,85,100,2,1.7,79.5,0,Body Slam;Fire Punch;Covet;Focus Punch;Dig;Flame Burst;Dynamic Punch;Overheat;Fury Swipes;Secret Power;Bulldoze;Power-Up Punch;Solar Beam;Rock Smash;Crush Claw;Mega Kick;Inferno;Focus Blast;Round;Brick Break;Headbutt;Extrasensory;Mud-Slap;Rock Slide;Shadow Claw;Iron Tail;Eruption;Earthquake;Flame Charge;Thunder Punch;Fire Blast;Flamethrower;Flame Wheel;Wild Charge;Rock Climb;Heat Wave;Cut;Thrash;Submission;Blast Burn;Fire Pledge;Facade;Hyper Beam;Rollout;Lava Plume;Strength;Double-Edge;Quick Attack;Incinerate;Ember;Mega Punch;Hidden Power;Fury Cutter;Flare Blitz;Snore;Double Kick;Giga Impact;Burn Up,If its rage peaks* it becomes so hot that anything that touches it will instantly go up in flames.
158,Totodile,water,,50,65,64,44,48,43,2,0.6,9.5,0,Body Slam;Focus Punch;Dig;Dynamic Punch;Scald;Superpower;Secret Power;Chip Away;Power-Up Punch;Ice Punch;Mega Kick;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Aqua Jet;Bite;Slash;Ice Beam;Dragon Claw;Rage;Waterfall;Crunch;Ancient Power;Cut;Water Gun;Surf;Thrash;Facade;Aqua Tail;Double-Edge;Hydro Pump;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Snore;Ice Fang;Uproar;Dive,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,Croconaw,water,,65,80,80,59,63,58,2,1.1,25.0,0,Body Slam;Focus Punch;Dig;Dynamic Punch;Scald;Superpower;Secret Power;Chip Away;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Aqua Jet;Bite;Slash;Ice Beam;Dragon Claw;Rage;Waterfall;Crunch;Ancient Power;Cut;Water Gun;Surf;Thrash;Facade;Aqua Tail;Strength;Double-Edge;Hydro Pump;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Fury Cutter;Snore;Ice Fang;Uproar;Dive,If it loses a fang* a new one grows back in its place. There are always 48 fangs lining its mouth.
160,Feraligatr,water,,85,105,100,79,83,78,2,2.3,88.8,0,Body Slam;Focus Punch;Dig;Dynamic Punch;Scald;Superpower;Secret Power;Bulldoze;Chip Away;Outrage;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Round;Avalanche;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Earthquake;Aqua Jet;Bite;Slash;Ice Beam;Dragon Claw;Rock Climb;Rage;Waterfall;Crunch;Ancient Power;Cut;Water Gun;Surf;Thrash;Hydro Cannon;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Double-Edge;Hydro Pump;Metal Claw;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Fury Cutter;Dragon Tail;Snore;Ice Fang;Uproar;Giga Impact;Dive,When it bites with its massive and powerful jaws* it shakes its head and savagely tears its victim up.
161,Sentret,normal,,35,46,34,35,45,20,2,0.8,6.0,0,Hyper Voice;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;U-turn;Thunderbolt;Fury Swipes;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Round;Brick Break;Headbutt;Mud-Slap;Shadow Claw;Slam;Iron Tail;Scratch;Pursuit;Thunder Punch;Slash;Ice Beam;Flamethrower;Echoed Voice;Knock Off;Retaliate;Cut;Surf;Last Resort;Facade;Rollout;Aqua Tail;Thief;Double-Edge;Quick Attack;Charge Beam;Water Pulse;Hidden Power;Brutal Swing;Fury Cutter;Sucker Punch;Shadow Ball;Snore;Uproar,A very cautious POKéMON* it raises itself up using its tail to get a better view of its surroundings.
162,Furret,normal,,85,76,64,45,55,90,2,1.8,32.5,0,Hyper Voice;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;U-turn;Thunderbolt;Fury Swipes;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Focus Blast;Thunder;Round;Brick Break;Headbutt;Mud-Slap;Shadow Claw;Slam;Iron Tail;Scratch;Pursuit;Thunder Punch;Slash;Ice Beam;Flamethrower;Echoed Voice;Knock Off;Retaliate;Cut;Surf;Last Resort;Facade;Hyper Beam;Rollout;Aqua Tail;Strength;Thief;Double-Edge;Quick Attack;Charge Beam;Water Pulse;Hidden Power;Brutal Swing;Fury Cutter;Sucker Punch;Shadow Ball;Snore;Uproar;Giga Impact,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,Hoothoot,normal,flying,60,30,30,36,56,50,2,0.7,21.2,0,Hyper Voice;Zen Headbutt;Twister;Confusion;Fly;Take Down;Secret Power;Ominous Wind;Round;Extrasensory;Mud-Slap;Steel Wing;Silver Wind;Air Slash;Synchronoise;Echoed Voice;Pluck;Peck;Hurricane;Heat Wave;Sky Attack;Facade;Thief;Double-Edge;Wing Attack;Dream Eater;Moonblast;Psychic;Hidden Power;Air Cutter;Shadow Ball;Snore;Uproar,It always stands on one foot. It changes feet so fast* the movement can rarely be seen.
164,Noctowl,normal,flying,100,50,50,86,96,70,2,1.6,40.8,0,Hyper Voice;Zen Headbutt;Twister;Confusion;Fly;Take Down;Secret Power;Ominous Wind;Round;Extrasensory;Mud-Slap;Steel Wing;Silver Wind;Air Slash;Synchronoise;Echoed Voice;Pluck;Peck;Hurricane;Heat Wave;Sky Attack;Facade;Hyper Beam;Thief;Double-Edge;Wing Attack;Dream Eater;Moonblast;Psychic;Hidden Power;Air Cutter;Shadow Ball;Snore;Uproar;Giga Impact,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,Ledyba,bug,flying,40,20,30,40,80,55,2,1.0,10.8,0,Thief;Psybeam;Round;Knock Off;Double-Edge;Brick Break;Headbutt;Focus Punch;Comet Punch;Bug Bite;Dig;Dynamic Punch;U-turn;Mega Punch;Bug Buzz;Mach Punch;Dizzy Punch;Hidden Power;Silver Wind;Secret Power;Infestation;Air Cutter;Thunder Punch;Struggle Bug;Power-Up Punch;Solar Beam;Ice Punch;Air Slash;Ominous Wind;Drain Punch;Facade;Giga Drain;Rollout;Snore;Uproar;Acrobatics,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,Ledian,bug,flying,55,35,50,55,110,85,2,1.4,35.6,0,Focus Punch;Comet Punch;Dig;Dynamic Punch;U-turn;Bug Buzz;Secret Power;Struggle Bug;Power-Up Punch;Solar Beam;Ice Punch;Ominous Wind;Rock Smash;Giga Drain;Focus Blast;Psybeam;Round;Brick Break;Headbutt;Dizzy Punch;Silver Wind;Thunder Punch;Air Slash;Knock Off;Drain Punch;Facade;Hyper Beam;Rollout;Strength;Thief;Double-Edge;Bug Bite;Mega Punch;Mach Punch;Hidden Power;Infestation;Air Cutter;Snore;Uproar;Giga Impact;Acrobatics,When the stars flicker in the night sky* it flutters about* scattering a glowing powder.
167,Spinarak,bug,poison,40,60,40,40,40,30,2,0.5,8.5,0,Shadow Sneak;Bounce;Thief;Psybeam;Constrict;Body Slam;Round;Double-Edge;Cross Poison;Dig;Bug Bite;Poison Jab;Poison Sting;Foul Play;Leech Life;Psychic;Hidden Power;Pursuit;Fury Swipes;Secret Power;Night Slash;Infestation;Struggle Bug;Venoshock;Solar Beam;Signal Beam;Sucker Punch;Megahorn;Electroweb;Absorb;Giga Drain;Snore;Sludge Bomb;Facade;X-Scissor;Twineedle;Lunge,It lies still in the same pose for days in its web* waiting for its unsuspecting prey to wander close.
168,Ariados,bug,poison,70,90,70,60,70,40,2,1.1,33.5,0,Shadow Sneak;Body Slam;Dig;Fury Swipes;Secret Power;Night Slash;Struggle Bug;Venoshock;Solar Beam;Giga Drain;Sludge Bomb;Twineedle;Fell Stinger;Bounce;Psybeam;Constrict;Round;Poison Jab;Pursuit;Signal Beam;Electroweb;Absorb;X-Scissor;Poison Sting;Leech Life;Megahorn;Facade;Hyper Beam;Lunge;Thief;Double-Edge;Cross Poison;Bug Bite;Foul Play;Psychic;Hidden Power;Infestation;Sucker Punch;Snore;Giga Impact,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,Crobat,poison,flying,85,90,80,70,80,130,2,1.8,75.0,0,Zen Headbutt;Twister;U-turn;Fly;Secret Power;Venoshock;Ominous Wind;Sludge Bomb;Giga Drain;Gust;Round;Steel Wing;Pursuit;Poison Fang;Bite;Air Slash;Dark Pulse;Absorb;X-Scissor;Pluck;Payback;Leech Life;Heat Wave;Astonish;Sky Attack;Facade;Hyper Beam;Thief;Double-Edge;Quick Attack;Cross Poison;Wing Attack;Hidden Power;Brave Bird;Air Cutter;Shadow Ball;Snore;Uproar;Giga Impact;Acrobatics,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
170,Chinchou,water,electric,75,38,38,56,56,67,2,0.5,12.0,0,Thunder;Bounce;Psybeam;Round;Double-Edge;Hydro Pump;Volt Switch;Waterfall;Charge Beam;Dazzling Gleam;Brine;Thunderbolt;Water Pulse;Bubble;Take Down;Scald;Icy Wind;Hidden Power;Secret Power;Water Gun;Surf;Discharge;Zap Cannon;Signal Beam;Bubble Beam;Ice Beam;Sucker Punch;Wild Charge;Spark;Facade;Snore;Dive,Chinchou blink their shining antennae at one another to claim their respective turf.
171,Lanturn,water,electric,125,58,58,76,76,67,2,1.2,22.5,0,Thunder;Bounce;Psybeam;Round;Double-Edge;Hydro Pump;Volt Switch;Charge Beam;Waterfall;Dazzling Gleam;Brine;Thunderbolt;Water Pulse;Bubble;Take Down;Scald;Icy Wind;Hidden Power;Secret Power;Water Gun;Surf;Discharge;Zap Cannon;Signal Beam;Bubble Beam;Ice Beam;Sucker Punch;Wild Charge;Spark;Facade;Snore;Hyper Beam;Aqua Tail;Giga Impact;Dive,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
172,Pichu,electric,,20,40,15,35,35,60,2,0.3,2.0,0,Thunder;Double Slap;Fake Out;Thunder Shock;Body Slam;Round;Covet;Volt Switch;Double-Edge;Headbutt;Mud-Slap;Charge Beam;Iron Tail;Thunderbolt;Mega Punch;Hidden Power;Secret Power;Thunder Punch;Volt Tackle;Zap Cannon;Signal Beam;Echoed Voice;Mega Kick;Electroweb;Wild Charge;Facade;Snore;Rollout;Uproar,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,fairy,,50,25,28,45,55,15,2,0.3,3.0,0,Hyper Voice;Body Slam;Covet;Zen Headbutt;Dig;Secret Power;Stored Power;Solar Beam;Mega Kick;Psyshock;Round;Headbutt;Mud-Slap;Iron Tail;Signal Beam;Fire Blast;Flamethrower;Echoed Voice;Zap Cannon;Last Resort;Facade;Rollout;Double-Edge;Incinerate;Water Pulse;Pound;Dream Eater;Mega Punch;Psychic;Icy Wind;Hidden Power;Shadow Ball;Snore;Uproar,Because of its unusual* star-like silhouette* people believe that it came here on a meteor.
174,Igglybuff,normal,fairy,90,30,15,40,20,15,2,0.3,1.0,0,Hyper Voice;Body Slam;Covet;Dig;Secret Power;Solar Beam;Mega Kick;Bounce;Round;Headbutt;Mud-Slap;Fire Blast;Flamethrower;Echoed Voice;Wild Charge;Zap Cannon;Last Resort;Facade;Rollout;Double-Edge;Incinerate;Water Pulse;Pound;Dream Eater;Mega Punch;Psychic;Icy Wind;Hidden Power;Shadow Ball;Snore;Uproar,It has a very soft body. If it starts to roll* it will bounce all over and be impossible to stop.
175,Togepi,fairy,,35,20,65,40,65,20,2,0.3,1.5,0,Hyper Voice;Body Slam;Covet;Zen Headbutt;Secret Power;Stored Power;Solar Beam;Rock Smash;Mega Kick;Psyshock;Round;Headbutt;Extrasensory;Mud-Slap;Dazzling Gleam;Signal Beam;Fire Blast;Flamethrower;Echoed Voice;Peck;Ancient Power;Zap Cannon;Last Resort;Facade;Rollout;Double-Edge;Incinerate;Water Pulse;Mega Punch;Dream Eater;Psychic;Hidden Power;Shadow Ball;Snore;Uproar,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,Togetic,fairy,flying,55,40,85,80,105,40,2,0.6,3.2,0,Hyper Voice;Body Slam;Covet;Zen Headbutt;Focus Punch;Twister;Fly;Fairy Wind;Secret Power;Stored Power;Solar Beam;Ominous Wind;Rock Smash;Mega Kick;Psyshock;Round;Brick Break;Headbutt;Extrasensory;Mud-Slap;Steel Wing;Dazzling Gleam;Silver Wind;Signal Beam;Fire Blast;Flamethrower;Echoed Voice;Peck;Ancient Power;Retaliate;Heat Wave;Zap Cannon;Drain Punch;Last Resort;Sky Attack;Facade;Hyper Beam;Rollout;Double-Edge;Incinerate;Water Pulse;Mega Punch;Dream Eater;Psychic;Hidden Power;Air Cutter;Shadow Ball;Snore;Uproar;Giga Impact,They say that it will appear before kindhearted* car­ ing people and shower them with happiness.
177,Natu,psychic,flying,40,50,45,70,45,70,2,0.2,2.0,0,Zen Headbutt;Twister;U-turn;Secret Power;Stored Power;Solar Beam;Ominous Wind;Giga Drain;Psyshock;Round;Steel Wing;Dazzling Gleam;Silver Wind;Signal Beam;Synchronoise;Pluck;Peck;Heat Wave;Drill Peck;Sky Attack;Facade;Thief;Double-Edge;Quick Attack;Dream Eater;Psychic;Hidden Power;Air Cutter;Sucker Punch;Shadow Ball;Snore,Because its wings aren't yet fully grown* it has to hop to get around. It is always star­ ing at something.
178,Xatu,psychic,flying,65,75,70,95,70,95,2,1.5,15.0,0,Zen Headbutt;Twister;U-turn;Fly;Secret Power;Stored Power;Solar Beam;Ominous Wind;Giga Drain;Psyshock;Round;Steel Wing;Dazzling Gleam;Silver Wind;Air Slash;Signal Beam;Synchronoise;Pluck;Peck;Heat Wave;Drill Peck;Sky Attack;Facade;Hyper Beam;Thief;Double-Edge;Quick Attack;Foul Play;Dream Eater;Psychic;Hidden Power;Air Cutter;Sucker Punch;Shadow Ball;Snore;Giga Impact,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,electric,,55,40,40,65,45,35,2,0.6,7.8,0,Thunder;Thunder Shock;Power Gem;Body Slam;Round;Double-Edge;Headbutt;Charge Beam;Iron Tail;Thunderbolt;Take Down;Hidden Power;Secret Power;Discharge;Zap Cannon;Signal Beam;Echoed Voice;Electroweb;Wild Charge;Facade;Snore,If static elec­ tricity builds in its body* its fleece doubles in volume. Touching it will shock you.
180,Flaaffy,electric,,70,55,55,80,60,45,2,0.8,13.3,0,Thunder Shock;Body Slam;Fire Punch;Focus Punch;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Discharge;Power-Up Punch;Rock Smash;Mega Kick;Thunder;Power Gem;Round;Volt Switch;Brick Break;Headbutt;Iron Tail;Thunder Punch;Signal Beam;Echoed Voice;Electroweb;Wild Charge;Zap Cannon;Facade;Strength;Double-Edge;Charge Beam;Mega Punch;Hidden Power;Snore,As a result of storing too much electricity* it developed patches where even downy wool won't grow.
181,Ampharos,electric,,90,95,105,165,110,45,2,1.4,61.5,0,Thunder Shock;Body Slam;Fire Punch;Focus Punch;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Bulldoze;Discharge;Outrage;Power-Up Punch;Rock Smash;Mega Kick;Focus Blast;Thunder;Power Gem;Round;Volt Switch;Brick Break;Headbutt;Iron Tail;Thunder Punch;Signal Beam;Echoed Voice;Electroweb;Wild Charge;Rock Climb;Zap Cannon;Facade;Hyper Beam;Dragon Pulse;Strength;Double-Edge;Charge Beam;Mega Punch;Hidden Power;Brutal Swing;Snore;Giga Impact,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Bellossom,grass,,75,80,95,90,100,50,2,0.4,5.8,0,Acid;Petal Dance;Round;Double-Edge;Energy Ball;Dazzling Gleam;Moonblast;Seed Bomb;Hidden Power;Secret Power;Cut;Infestation;Leaf Blade;Venoshock;Leaf Storm;Solar Beam;Drain Punch;Bullet Seed;Absorb;Petal Blizzard;Razor Leaf;Giga Drain;Snore;Hyper Beam;Sludge Bomb;Facade;Uproar;Mega Drain;Giga Impact,Plentiful in the tropics. When it dances* its petals rub together and make a pleasant ringing sound.
183,Marill,water,fairy,70,20,50,20,50,40,2,0.4,8.5,0,Hyper Voice;Body Slam;Covet;Focus Punch;Dig;Dynamic Punch;Bubble;Scald;Superpower;Secret Power;Power-Up Punch;Muddy Water;Ice Punch;Rock Smash;Mega Kick;Bounce;Round;Brick Break;Headbutt;Mud-Slap;Slam;Iron Tail;Aqua Jet;Ice Beam;Play Rough;Knock Off;Waterfall;Water Gun;Surf;Facade;Rollout;Aqua Tail;Strength;Double-Edge;Hydro Pump;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Bubble Beam;Snore;Uproar;Dive,The tip of its tail* which con­ tains oil that is lighter than wa­ ter* lets it swim without drowning.
184,Azumarill,water,fairy,100,50,80,60,80,50,2,0.8,28.5,0,Hyper Voice;Body Slam;Covet;Focus Punch;Dig;Dynamic Punch;Bubble;Scald;Superpower;Secret Power;Bulldoze;Power-Up Punch;Muddy Water;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Bounce;Round;Brick Break;Headbutt;Mud-Slap;Slam;Iron Tail;Aqua Jet;Ice Beam;Play Rough;Knock Off;Waterfall;Water Gun;Surf;Facade;Hyper Beam;Rollout;Aqua Tail;Strength;Double-Edge;Hydro Pump;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Bubble Beam;Snore;Uproar;Giga Impact;Dive,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.
185,Sudowoodo,rock,,70,100,115,30,65,30,2,1.2,38.0,0,Self-Destruct;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;Secret Power;Bulldoze;Power-Up Punch;Explosion;Ice Punch;Wood Hammer;Rock Smash;Mega Kick;Round;Stone Edge;Brick Break;Headbutt;Rock Slide;Mud-Slap;Slam;Earthquake;Thunder Punch;Smack Down;Facade;Rollout;Strength;Thief;Double-Edge;Head Smash;Foul Play;Mega Punch;Hidden Power;Hammer Arm;Earth Power;Sucker Punch;Snore;Uproar,Although it always pretends to be a tree* its composi­ tion appears to be closer to a rock than a plant.
186,Politoed,water,,90,75,75,90,100,70,2,1.1,33.9,0,Hyper Voice;Body Slam;Focus Punch;Dig;Dynamic Punch;Bubble;Scald;Secret Power;Bulldoze;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Double Slap;Bounce;Round;Brick Break;Headbutt;Mud-Slap;Earthquake;Mud Bomb;Ice Ball;Ice Beam;Echoed Voice;Mud Shot;Wake-Up Slap;Waterfall;Payback;Water Gun;Surf;Facade;Hyper Beam;Strength;Thief;Double-Edge;Hydro Pump;Water Pulse;Mega Punch;Psychic;Icy Wind;Hidden Power;Bubble Beam;Snore;Giga Impact;Dive,If POLIWAG and POLIWHIRL hear its echoing cry* they respond by gather­ ing from far and wide.
